"","农林牧渔","工业","建筑业","批发和零售贸易业","交通运输","住宿和餐饮业","金融保险业","房地产业","其他"
"202",16855520.17,130925187.333333,58361952.5666667,10590170.81,7738032.17333333,4980529.93,3827305.08333333,9561811.76666667,42855810.0333333
"211",5996066.79333333,116005607.866667,28331605.0266667,10640692.2766667,6394447.48666667,5151596.09666667,3682689.85333333,7964773.46333333,47972880.1666667
"212",5996066.79333333,116005607.866667,28331605.0266667,10640692.2766667,6394447.48666667,5151596.09666667,3682689.85333333,7964773.46333333,47972880.1666667
"213",5996066.79333333,116005607.866667,28331605.0266667,10640692.2766667,6394447.48666667,5151596.09666667,3682689.85333333,7964773.46333333,47972880.1666667
"221",9447516.48,133375413.333333,48954827.9,11234490.67,7272509.23,5048353.79333333,3641921.34,8606883.16,45767947.8666667
"222",9447516.48,133375413.333333,48954827.9,11234490.67,7272509.23,5048353.79333333,3641921.34,8606883.16,45767947.8666667
"223",9447516.48,133375413.333333,48954827.9,11234490.67,7272509.23,5048353.79333333,3641921.34,8606883.16,45767947.8666667
"231",14249988.7833333,139487433.966667,52603139.7,11343189.6766667,6574596.93,5323796.46333333,3847935.59333333,9117797.68666667,46274936.9666667
"232",14249988.7833333,139487433.966667,52603139.7,11343189.6766667,6574596.93,5323796.46333333,3847935.59333333,9117797.68666667,46274936.9666667
"233",14249988.7833333,139487433.966667,52603139.7,11343189.6766667,6574596.93,5323796.46333333,3847935.59333333,9117797.68666667,46274936.9666667
"24",17657551.4333333,153180514.933333,70736203.5,12582183.3833333,7600781.55333333,6091295.84666667,3831746.64333333,10879866.1533333,50474482.2666667
"241",17657551.4333333,153180514.933333,70736203.5,12582183.3833333,7600781.55333333,6091295.84666667,3831746.64333333,10879866.1533333,50474482.2666667
"242",17657551.4333333,153180514.933333,70736203.5,12582183.3833333,7600781.55333333,6091295.84666667,3831746.64333333,10879866.1533333,50474482.2666667
"25",6892234.99666667,136757473.166667,34908481.3333333,11950503.12,6659828.89666667,5535329.35666667,4215680.44333333,11960839.0333333,57476032
"251",6892234.99666667,136757473.166667,34908481.3333333,11950503.12,6659828.89666667,5535329.35666667,4215680.44333333,11960839.0333333,57476032
"252",6892234.99666667,136757473.166667,34908481.3333333,11950503.12,6659828.89666667,5535329.35666667,4215680.44333333,11960839.0333333,57476032
"26",10704695.6966667,158798222,60481138.8666667,12796680.92,7499750.28333333,5303524.7,4108253.76666667,12301468.92,54651346.1666667
"261",10704695.6966667,158798222,60481138.8666667,12796680.92,7499750.28333333,5303524.7,4108253.76666667,12301468.92,54651346.1666667
"262",10704695.6966667,158798222,60481138.8666667,12796680.92,7499750.28333333,5303524.7,4108253.76666667,12301468.92,54651346.1666667
"27",15319419.9033333,160809589.833333,63334901.1,13103373.32,6817752.59666667,5692514.33,4300240.45333333,11725358.6333333,55320373.0333333
"271",15319419.9033333,160809589.833333,63334901.1,13103373.32,6817752.59666667,5692514.33,4300240.45333333,11725358.6333333,55320373.0333333
"272",15319419.9033333,160809589.833333,63334901.1,13103373.32,6817752.59666667,5692514.33,4300240.45333333,11725358.6333333,55320373.0333333
"28",17865972.29,163970983.533333,84467223.6,14029988.5333333,7027347.97333333,6324708.84666667,4498293.80666667,13695295.11,58260949.9666667
"281",17865972.29,163970983.533333,84467223.6,14029988.5333333,7027347.97333333,6324708.84666667,4498293.80666667,13695295.11,58260949.9666667
"282",17865972.29,163970983.533333,84467223.6,14029988.5333333,7027347.97333333,6324708.84666667,4498293.80666667,13695295.11,58260949.9666667
"29",7108686.75333333,148650172.933333,41501611.0333333,13462747.39,6311940.60666667,5851957.91,4650260.49666667,13719970.4533333,66325134.9666667
"291",7108686.75333333,148650172.933333,41501611.0333333,13462747.39,6311940.60666667,5851957.91,4650260.49666667,13719970.4533333,66325134.9666667
"292",7108686.75333333,148650172.933333,41501611.0333333,13462747.39,6311940.60666667,5851957.91,4650260.49666667,13719970.4533333,66325134.9666667
"30",11112338.1733333,171211176.166667,71621492.5,14010489.57,7053860,5598413.47666667,4648322.04333333,15703923.4333333,63064561.9
"301",11112338.1733333,171211176.166667,71621492.5,14010489.57,7053860,5598413.47666667,4648322.04333333,15703923.4333333,63064561.9
"302",11112338.1733333,171211176.166667,71621492.5,14010489.57,7053860,5598413.47666667,4648322.04333333,15703923.4333333,63064561.9
"311",16082021.4433333,178948545.466667,76810926.2,14506075.3433333,7273946.84,5966953.47333333,4890188.10333333,15543252.3633333,63727721.9333333
"312",16082021.4433333,178948545.466667,76810926.2,14506075.3433333,7273946.84,5966953.47333333,4890188.10333333,15543252.3633333,63727721.9333333
"313",16082021.4433333,178948545.466667,76810926.2,14506075.3433333,7273946.84,5966953.47333333,4890188.10333333,15543252.3633333,63727721.9333333
"321",19910485.74,199812730.566667,95823731.2666667,15981442.1833333,7527106.37666667,6680133.78333333,5052048.92666667,17830471.9933333,67808874
"322",19910485.74,199812730.566667,95823731.2666667,15981442.1833333,7527106.37666667,6680133.78333333,5052048.92666667,17830471.9933333,67808874
"323",19910485.74,199812730.566667,95823731.2666667,15981442.1833333,7527106.37666667,6680133.78333333,5052048.92666667,17830471.9933333,67808874
